titre,entreprise,description,localisation,date_publication,date_limite,nombre_postes,niveau_experience,niveau_etudes_requis,competences_cles,contrat_propose,teletravail,lien
Chargé de Recrutement H/F 6 mois,Manpower Agences,"Nous, Manpower Group, recherchons un chargé(e) de de sourcing et recrutement basé(e) à Casablanca. Pour une mission de 6 mois, avec possibilité de renouvellement. Le/la Chargé(e) de Recrutement jouera un rôle...",Casablanca (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,Moins de 1 an,Bac +5 et plus,"['RH ', ' Personnel ', ' Formation']",Autre,Non,https://www.rekrute.com/offre-emploi-charge-de-recrutement-hf-6-mois-recrutement-manpower-agences-casablanca-167707.html
Conseiller Commercial Audi (H/F),CAC (Centrale Automobile Chérifienne),"Mission principale : Endosser des fonctions d’ambassadeur de la marque, assister et conseiller les prospects et les clients tout au long du processus de vente et assurer le suivi satisfaction client. Tâches : Développer un...",Casablanca (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Commercial ', ' Vente ', ' Export']",CDI,Non,https://www.rekrute.com/offre-emploi-conseiller-commercial-audi-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-167706.html
Superviseur Logistique (H/F),CAC (Centrale Automobile Chérifienne),Le Superviseur Logistique VN est responsable de la supervision des Véhicules Neufs et l’expertise de la réception des véhicules provenant du prestataire vers le Site. Il (elle) doit superviser les préparations VN pour la...,Casablanca (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +3,"['Logistique ', ' Transport (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-superviseur-logistique-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-167705.html
Ingénieur d'études Structure,Novec,"Rattaché au Service Structures et Aménagements Extérieurs du Pôle Bâtiment et Energie, vous avez pour missions : Réalisation des études de structures d’exécution Etude du comportement...","Salé, Technopolis (Maroc)",15.01.2025,02.02.2025,Postes proposés: 1,Moins de 1 an,Bac +5 et plus,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-detudes-structure-recrutement-novec-sale-technopolis-166681.html
Ingénieur Energéticien / Thermicien,Novec,"Rattaché au Service Energie er Industrie, vous avez pour missions : Réaliser des études thermiques de bâtiment, Mener des audits énergétiques, Effectuer des études de simulation dynamique du...","Salé, Technopolis (Maroc)",15.01.2025,03.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-energeticien-thermicien-recrutement-novec-sale-technopolis-166742.html
Assistante du Département Transport,Novec,"Rattaché(e) au Département Transport, vous avez pour missions : Gérer les courriers arrivées/départs, la correspondance électronique du chef de département, Assurer la gestion de l’agenda du...","Salé, Technopolis (Maroc)",15.01.2025,21.01.2025,Postes proposés: 1,De 1 à 3 ans,Bac +3,"['Assistanat de Direction ', ' Services Généraux']",CDI,Non,https://www.rekrute.com/offre-emploi-assistante-du-departement-transport-recrutement-novec-sale-technopolis-166465.html
Ingénieur Electricien,Novec,"Rattaché au Département Aménagement urbain, vous avez pour missions :   Contribuer à la préparation de sous ensemble des offres techniques, selon les instructions du chef de projet ou du chef de...",Salé (Technopolis) (Maroc),15.01.2025,05.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-electricien-recrutement-novec-sale-technopolis-166780.html
Ingénieur d’études en Assainissement et drainage d'ouvrage linéaire,Novec,"Rattaché au Département Transport, vous avez pour missions : Concevoir, planifier et mettre en œuvre des projets liés aux transports, Collecter, analyser et interpréter des données hydrologiques,...","Salé, Technopolis (Maroc)",15.01.2025,05.02.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-detudes-en-assainissement-et-drainage-douvrage-lineaire-recrutement-novec-sale-technopolis-166782.html
Ingénieur d'études Confirmé en Aménagement Urbain,Novec,"Rattaché au département Aménagement Urbain, vous avez pour mission:  Contribuer à la préparation de sous ensemble des offres techniques, selon les instructions du chef de projet ou du chef de...","Salé, Technopolis (Maroc)",15.01.2025,02.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-detudes-confirme-en-amenagement-urbain-recrutement-novec-sale-technopolis-167376.html
Chef de Projet Ouvrages d'art,Novec,"Rattaché au Département Ouvrages d’Art, vous avez pour missions : Participer à l’élaboration des études des Ouvrages d’Art, Vérifier la conformité des contrats par rapport à...",Salé (Technopolis) (Maroc),15.01.2025,23.02.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-chef-de-projet-ouvrages-dart-recrutement-novec-sale-technopolis-167203.html
Technicien(ne) SIG,Novec,"Rattaché au département Développement Durable, vos avez pour missions: Réaliser la cartographie numérique en utilisant des logiciels SIG tels que ArcGIS, QGIS, etc. Effectuer des dessins techniques et des plans...","Salé, Technopolis (Maroc)",15.01.2025,02.03.2025,Postes proposés: 1,Débutant,Bac +2,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-sig-recrutement-novec-sale-technopolis-167357.html
Ingénieur Etudes et Développement Informatique,Novec,"Rattaché au Département Barrages et Ouvrages Souterrains, vous avez pour missions: Rédaction des spécifications fonctionnelles détaillées et techniques, Le prototypage et le développement des...","Salé, Technopolis (Maroc)",15.01.2025,02.02.2025,Postes proposés: 1,Débutant,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-etudes-et-developpement-informatique-recrutement-novec-sale-technopolis-166673.html
Technicien(ne) Fluide,Novec,"Rattaché au service Fluides, vous avez pour missions de: Fournir le support pour la préparation des offres. Etablir les bilans thermiques et NC ; Etablir les plans et maquettes fluides ( Plomberie sanitaire, PCI, Climatisation,...","Salé, Technopolis (Maroc)",15.01.2025,25.01.2025,Postes proposés: 2,De 1 à 3 ans,Bac +2,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-fluide-recrutement-novec-sale-technopolis-166512.html
Ingénieur d'études en Ouvrages d'Art,Novec,"Rattaché au Département Ouvrages d'art, vous avez pour principales missions de: Participer à l'élaboration des études des ouvrages d'art, Assister le chef de projet dans la gestion des projets du...","Salé, Technopolis (Maroc)",15.01.2025,25.01.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-detudes-en-ouvrages-dart-recrutement-novec-sale-technopolis-166511.html
Ingénieur d'études en Génie Rural Confirmé,Novec,"Rattaché au département Assistance technique, vous avez pour mission:  Réaliser les études techniques pour le dimensionnement des systèmes d'irrigation, Assurer la gestion et la supervision des travaux de...",Salé (Technopolis) (Maroc),15.01.2025,25.01.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"[""Agriculture (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-detudes-en-genie-rural-confirme-recrutement-novec-sale-technopolis-166513.html
Technicien(ne) en Electricité,Novec,"Rattaché au service Energie et Industrie, vous avez pour missions : Elaboration des notes de calcul électrique pour les projets assignés, Conception et création des pièces graphiques à l'aide des...","Salé, Technopolis (Maroc)",15.01.2025,25.01.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,['Electricité'],CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-en-electricite-recrutement-novec-sale-technopolis-166517.html
Chef de Projet Bâtiment,Novec,"Rattaché au Département Management de projets, vous avez pour missions : Gérer les projets (délais, coût et qualité) Etudier, évaluer et chiffrer les dossiers de projets en vue de proposer les offres...","Salé, Technopolis (Maroc)",15.01.2025,25.01.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-chef-de-projet-batiment-recrutement-novec-sale-technopolis-166516.html
Technicien Géologue,Novec,"Rattaché au Département Barrages et Ouvrages souterrains, vous avez pour missions : Effectuer des relevés géologiques et topographiques. Effectuer des tests et analyses en laboratoire sur les échantillons...","Salé, Technopolis (Maroc)",15.01.2025,02.03.2025,Postes proposés: 2,Moins de 1 an,Bac +2,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-technicien-geologue-recrutement-novec-sale-technopolis-167356.html
Technicien(ne) de suivi,Novec,"Rattaché au département aménagement urbain, vous avez pour missions : Suivre au quotidien de l’exécution des travaux, Contrôle de la conformité de l’exécution des travaux aux prescriptions...",Salé (Technopolis) (Maroc),15.01.2025,23.02.2025,Postes proposés: 1,De 10 à 20 ans,Bac +2,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-de-suivi-recrutement-novec-sale-technopolis-167205.html
Cadre Commercial,Comarbois,"Votre mission en tant que Cadre Commercial au sein de Comarbois sera de contribuer activement à la croissance de l'entreprise et à la fidélisation de la clientèle. À ce titre, vous serez rattaché(e) à...",Casablanca (Maroc),15.01.2025,15.03.2025,Postes proposés: 3,De 1 à 3 ans,Bac +2,"['Commercial ', ' Vente ', ' Export']",CDI,Non,https://www.rekrute.com/offre-emploi-cadre-commercial-recrutement-comarbois-casablanca-167704.html
Développeur backend .NET Core (H/F),Oceane Consulting IT Maroc,"Vous aurez comme mission:  Analyse du projet / Compréhension du besoin Etablissement de propositions techniques, en lien avec l’architecte Réalisation des développements Participation à des phases de...",Casablanca (Maroc),15.01.2025,28.01.2025,Postes proposés: 1,Débutant,Bac +2,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-developpeur-backend-.net-core-hf-recrutement-oceane-consulting-it-maroc-casablanca-166606.html
Monitoring Business Partner Officer (H/ F),,"The service requires: Budget Management: Collaborating with operational managers to collecting, consolidating, and updating budget data monthly. Ensuring accuracy of figures and collaborate with the financial controller to explain variations and...",Rabat (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-monitoring-business-partner-officer-h-f-recrutement-confidentiel-rabat-167703.html
Responsable Projet RH et Expérience Employé,Cnexia,"1. Expérience Employé : • Concevoir et déployer des programmes visant à améliorer l’engagement, la satisfaction et le bien-être des collaborateurs. • Piloter les étapes clés du cycle de...",Rabat (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-projet-rh-et-experience-employe-recrutement-cnexia-rabat-167702.html
Senior Pentesting Coordinator (H/ F),,Key Accountabilities : Collaborate with the internal requestors in order to define the scope ansd activities related to technical assurance for the Group products Schedule and coordinate security testing globally maintaining relationship with the...,Rabat (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-senior-pentesting-coordinator-h-f-recrutement-confidentiel-rabat-167701.html
Cloud Security Engineer (H/ F),,"We are looking for a SecOps (Not DevSecOps, DevOps) that will be service for: Local Cloud Broker reference for operational security activities of the Public Cloud platforms Provide service and secure the Public Cloud environment and the related...",Rabat (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Oui,https://www.rekrute.com/offre-emploi-cloud-security-engineer-h-f-recrutement-confidentiel-rabat-167700.html
Coordinateur SIRH (H/F),Cnexia,Volet managerial: Etre la porte d'entrée pour tout le volet sirh  Seconder la directrice people dans toutes les décisions et mesures lièes au périmetre sirh et veiller à leur déclinaison au sein de...,Rabat (Maroc),15.01.2025,27.01.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-coordinateur-sirh-hf-recrutement-cnexia-rabat-166591.html
IT Tech Team Lead H/F,Cnexia,"Manage locally a team of High-tech resources working in teams and pods to deliver high value programs Coordinate with hiring managers, supervise, organize your scope to ensure performance and consistency targets are met Contribute in the selection...",Rabat (Maroc),15.01.2025,08.03.2025,Postes proposés: 3,De 3 à 5 ans,Bac +4,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-it-tech-team-lead-hf-recrutement-cnexia-rabat-167577.html
Spécialiste rémunération et avantages H/F,Cnexia,Piloter et mener les enquêtes de benchmark internes et externes. Travailler sur un plan d’augmentation salariale pour garantir la compétitivité externe et interne du groupe en termes de rémunération fixe et...,Rabat (Maroc),15.01.2025,08.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +4,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-specialiste-remuneration-et-avantages-hf-recrutement-cnexia-rabat-167562.html
Contrôleur financier,Bouygues Construction IT,"Soutenir les activités financières de l'entreprise, en garantissant l'exactitude des informations financières, en participant à l'élaboration des budgets et des prévisions, et en veillant à la...",Casablanca (Maroc),,,,De 1 à 3 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-controleur-financier-recrutement-bouygues-construction-it-casablanca-167699.html
Ingénieur Electricien,Novec,"Rattaché au Service Energie et industrie, vous avez pour missions: Assurer les études des réseaux électriques BT, MT, HT, Assurer les études courant faible, Elaboration des audits...","Salé, Technopolis (Maroc)",15.01.2025,23.02.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-electricien-recrutement-novec-sale-technopolis-167206.html
Agent Comptable,Novec,"Rattaché au Service Comptabilité, vous avez pour missions : Enregistrement des opérations comptables Traitement des factures fournisseurs; Traitement des avances et des notes de frais Analyse des comptes...",Salé (Technopolis) (Maroc),15.01.2025,23.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +4,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-agent-comptable-recrutement-novec-sale-technopolis-167207.html
Technicien d'études Electricité CFO / CFA,Novec,"Rattaché au service Electricité, vous avez pour missions : Elaboration des notes de calcul électrique à l'aide de Caneco et Excel, Elaboration des pièces graphiques courant fort et faible à l'aide...",Salé (Technopolis) (Maroc),15.01.2025,25.01.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-technicien-detudes-electricite-cfo-cfa-recrutement-novec-sale-technopolis-166531.html
Ingénieur d'études en Aménagement Urbain,Novec,"Rattaché au département Aménagement Urbain, vous avez pour mission:  Concevoir et superviser les études VRD, en assurant la cohérence avec les normes et régulations en vigueur. Diriger les études...","Salé, Technopolis (Maroc)",15.01.2025,25.01.2025,Postes proposés: 1,Moins de 1 an,Bac +5 et plus,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-detudes-en-amenagement-urbain-recrutement-novec-sale-technopolis-166514.html
Ingénieur d'études transport,Novec,"Rattaché au département transport, vous avez pour missions : Assister le chef de projets. Assurer et participer aux études de projets, Piloter et optimiser la production des plans. Encadrer et superviser...","Salé, Technopolis (Maroc)",15.01.2025,23.02.2025,Postes proposés: 2,Débutant,Bac +5 et plus,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-detudes-transport-recrutement-novec-sale-technopolis-167208.html
Technicien(ne) ressources en eau,Novec,"Rattaché au Département Ressources en Eau, vous avez pour missions : Elaboration des cartes SIG et gestion des bases de données, Assurer l’intégration des caractéristiques et données techniques dans...",Salé (Technopolis) (Maroc),15.01.2025,06.03.2025,Postes proposés: 2,Moins de 1 an,Bac +2,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-ressources-en-eau-recrutement-novec-sale-technopolis-167485.html
Technicien(ne) SIG,Novec,"Rattaché au département Développement Durable, vos avez pour missions: Réaliser la cartographie numérique en utilisant des logiciels SIG tels que ArcGIS, QGIS, etc. Effectuer des dessins techniques et des plans...","Salé, Technopolis (Maroc)",15.01.2025,25.02.2025,Postes proposés: 1,Débutant,Bac +2,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-sig-recrutement-novec-sale-technopolis-167300.html
Technicien(ne) d'études en Génie Civil / Ouvrages d'art,Novec,"Rattaché au Service Ouvrages d'art, vous avez pour missions : Préparer les dessins et les plans d’ingénierie, Gérer la documentation technique, Assurer le suivi de l'avancement des...","Salé, Technopolis (Maroc)",15.01.2025,25.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-detudes-en-genie-civil-ouvrages-dart-recrutement-novec-sale-technopolis-167307.html
Technicien(ne) en Génie Civil,Novec,"Rattaché au Service Structure et Aménagements extérieurs, vous avez pour missions : Préparer les dessins et plans d'ingénierie; Gérer la documentation technique Assurer le soutien à...","Salé ,Technopolis (Maroc)",15.01.2025,25.02.2025,Postes proposés: 1,Moins de 1 an,Bac +2,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-en-genie-civil-recrutement-novec-sale-technopolis-167309.html
Technicien(ne) Métreur Bâtiment,Novec,"Rattaché au service Métrés et Prescriptions, vous avez pour principales missions : - Montage des estimations et contrôle des coûts de construction, - Lecture des plans architecturaux, - Etablissement des avants...","Salé, Technopolis (Maroc)",15.01.2025,21.01.2025,Postes proposés: 1,Moins de 1 an,Bac +2,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-metreur-batiment-recrutement-novec-sale-technopolis-166464.html
Chauffeur/ ambulancier,APEE - Association pour la Promotion de l’Enseignement d’Excellence,"MISSION GENERALE  Rattaché à la direction Support & Facilities Management, le chauffeur ambulancier assure le transport vers les établissements de soins, et un service de transport efficace et sécurisé pour...",Rabat (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac,"['Coursier ', ' Gardiennage ', ' Propreté']",CDI,Non,https://www.rekrute.com/offre-emploi-chauffeur-ambulancier-recrutement-apee---association-pour-la-promotion-de-lenseignement-dexcellence-rabat-167696.html
Responsable Magasin,Domino HR Morocco,"Vous recherchez un nouveau défi passionnant dans le secteur Agroalimentaire .Rejoignez notre équipe dynamique en tant que Responsable Magasin à Sekhirate, Dans ce rôle clé, vous serez au cœur de l'activité,...",sekhirate (Maroc),15.01.2025,15.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +3,"['Achats ', ' Supply Chain']",CDI,Oui,https://www.rekrute.com/offre-emploi-responsable-magasin-recrutement-domino-hr-morocco-sekhirate-167695.html
Manager / Assistant Manager,Délior Group,"Vos missions : ???? Piloter les aspects humains, opérationnels et financiers du magasin. ???? Assurer une expérience client exceptionnelle et garantir leur satisfaction. ???? Atteindre et dépasser les objectifs en termes de chiffre...",Casablanca / Rabat (Maroc),,,,De 3 à 5 ans,Bac +4,"['Hôtellerie ', ' Restauration (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-manager-assistant-manager-recrutement-delior-group-casablanca-rabat-167694.html
Manager H/F,McDonald's Maroc,"Le  Manager (le 2ème assistant) est le garant d’une bonne gestion du restaurant, il veille tout le temps sur la qualité, le service, la propreté pendant son shift et la sécurité des biens et des collaborateurs du...",Rabat (Maroc),15.01.2025,19.01.2025,Postes proposés: 6,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-manager-hf-recrutement-mcdonalds-maroc-rabat-166370.html
Confirmateur des Rendez-vous H/F,Imperial Com,"Vous rêvez d'un métier stimulant au sein d'une entreprise dynamique du secteur des centres d'appels ? Ce poste de Confirmateur des rendez-vous à Tanger, au Maroc, est fait pour vous ! Vous serez un acteur clé dans la...",Tanger (Maroc),14.01.2025,02.03.2025,Postes proposés: 3,Moins de 1 an,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-confirmateur-des-rendez-vous-hf-recrutement-imperial-com-tanger-167437.html
Téléconseillers en prise des RDVS - Tanger,Imperial Com,"Intégrez une entreprise dynamique du secteur de la Communication / Evénementiel basée à Tanger, au Maroc ! Ce poste de Téléconseiller en prise de rendez-vous pour des rénovations d'ampleur offre une...",Tanger (Maroc),14.01.2025,12.02.2025,Postes proposés: 25,Débutant,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-teleconseillers-en-prise-des-rdvs---tanger-recrutement-imperial-com-tanger-166957.html
Formateur en Relation Client,Imperial Com,Rejoignez une entreprise dynamique dans le secteur des Centres d'Appels basée à Tanger Ce poste de Formateur vous offre l'opportunité de contribuer activement au développement des compétences des collaborateurs et...,Tanger (Maroc),14.01.2025,21.02.2025,Postes proposés: 2,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-formateur-en-relation-client-recrutement-imperial-com-tanger-167188.html
Téléconseiller en prise des Rdvs Panneau Photovoltaïque Débutant ou Expérimenté H/F,Imperial Com,Vous êtes à la recherche d'une opportunité passionnante dans un centre d'appel ? Nous vous ouvrons notre porte pour recruter des téléconseillers débutants et expérimentés pour la prise de RDV Des...,Tanger (Maroc),14.01.2025,21.02.2025,Postes proposés: 40,Débutant,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-teleconseiller-en-prise-des-rdvs-panneau-photovoltaique-debutant-ou-experimente-hf-recrutement-imperial-com-tanger-167186.html
Téléconseiller en prise des Rdvs Rénovations d'Ampleur Débutant ou Expérimenté H/F (Tanger),Imperial Com,"Intégrez une entreprise dynamique du secteur de la Communication / Evénementiel basée à Tanger, au Maroc ! Ce poste de Téléconseiller en prise de rendez-vous pour des rénovations d'ampleur offre une...",Tanger (Maroc),14.01.2025,08.03.2025,Postes proposés: 25,Débutant,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-teleconseiller-en-prise-des-rdvs-renovations-dampleur-debutant-ou-experimente-hf-tanger-recrutement-imperial-com-tanger-167574.html
Eca recrute des commerciaux en assurance :( 5000dhs + primes déplafonnées + transport assuré+..),Eca Assurances," Dans le cadre de la poursuite de notre développement, nous recrutons des Conseillers Commerciaux : Rejoindre ECA Assurances, c'est dire oui à une expérience qui a du sens, celle où les rencontres et les missions vous...",Casablanca (Maroc),14.01.2025,14.03.2025,Postes proposés: 5,De 1 à 3 ans,Bac,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-eca-recrute-des-commerciaux-en-assurance-5000dhs-primes-deplafonnees-transport-assure..-recrutement-eca-assurances-casablanca-167692.html
Rejoignez notre équipe en tant que téléconseiller en accompagnement crédit !(4500dh +primes+ we off),Eca Assurances,"Dans le cadre de la poursuite de notre développement, nous recrutons des téléconseillers en accompagnement de Crédit. En tant que Conseiller(ère) en Crédit en appels sortants, vous serez en charge de contacter les...",Casablanca (Maroc),14.01.2025,14.03.2025,Postes proposés: 5,De 1 à 3 ans,Bac,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-rejoignez-notre-equipe-en-tant-que-teleconseiller-en-accompagnement-credit-4500dh-primes-we-off-recrutement-eca-assurances-casablanca-167691.html
Network Global Products Financial Controller,AXA Group Operations Maroc,"Context: As a Network Global Products financial controller at Axa Group Operations, you will be at the heart of financial oversight for Axa's global network product portfolio. This strategic role requires an individual with a strong understanding of...",Rabat (Maroc),14.01.2025,14.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +4,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-network-global-products-financial-controller-recrutement-axa-group-operations-maroc-rabat-167687.html
Team Manager Francophone (H/F),Foundever (ex Sitel Group),"En tant que Team Manager, vous êtes responsable de la gestion, de la motivation et de la performance d’une équipe. Vous jouez un rôle clé dans l’atteinte des objectifs fixés, tout en veillant au...",Rabat (Maroc),14.01.2025,23.02.2025,Postes proposés: 4,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-team-manager-francophone-hf-recrutement-foundever-ex-sitel-group-rabat-167198.html
Responsable Communication,Foundever (ex Sitel Group),Communication : Pilote l’ensemble des problématiques de communication interne et externe en local sur sa zone sous la responsabilité du directeur communication Manage les chargés de communication des sites de sa zone et...,Casablanca/Tanger (Maroc),14.01.2025,16.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Communication ', ' Publicité ', ' RP']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-communication-recrutement-foundever-ex-sitel-group-casablancatanger-167000.html
IT Onsite Engineer,Foundever (ex Sitel Group),"• Piloter le support client : Administrer, supporter et maintenir la continuité du bon fonctionnement des postes de travail conformément à l’environnement des centres d’appels. • Gérer/superviser les...",Rabat (Maroc),14.01.2025,25.01.2025,Postes proposés: 1,De 1 à 3 ans,Bac +3,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-it-onsite-engineer-recrutement-foundever-ex-sitel-group-rabat-166529.html
Conseiller Client en réception d'appel,Foundever (ex Sitel Group),Notre multinationale recrute des chargé(e)s de clientèle en assurance en réception d'appel pour le service clientèle. Au sein d'une équipe jeune et dynamique vous aurez pour mission: • Conseiller et...,Rabat (Maroc),14.01.2025,12.02.2025,Postes proposés: 50,Moins de 1 an,Bac,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-conseiller-client-en-reception-dappel-recrutement-foundever-ex-sitel-group-rabat-166964.html
Superviseur,Imperial Com,"Vous recherchez un poste stimulant dans le secteur de centre d'appel ? Une opportunité unique s'offre à vous à Tanger, au sein d'une entreprise en pleine croissance. En tant que Superviseur, vous serez au cœur de...",Tanger (Maroc),14.01.2025,03.03.2025,Postes proposés: 2,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-superviseur-recrutement-imperial-com-tanger-167460.html
Technicien IT,Imperial Com,  Nous recherchons un Technicien IT compétent pour rejoindre notre équipe dynamique au sein d’un centre d’appel. Vous serez responsable de la gestion technique des outils informatiques et téléphoniques...,Tanger (Maroc),14.01.2025,03.03.2025,Postes proposés: 2,Moins de 1 an,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-technicien-it-recrutement-imperial-com-tanger-167453.html
Team Leader H/F,Locamed,Nous recherchons un(e) Team Leader motivé(e) et expérimenté(e) pour diriger une équipe dédiée. Vous jouerez un rôle stratégique en garantissant la performance collective et la conformité des...,Rabat (Maroc),13.01.2025,13.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-team-leader-hf-recrutement-locamed-rabat-167686.html
